*** Aelf Mainnet ***,,,,,,,,,,,Execution Layer,,,,Chain SSDB,,,,State SSDB,,,,Exporter,,,,,,,,,Total CPU (vCore),Total Memory (GB),Storage (TB)
idc-svc-avax-mainnet-avax-arch-01,avax-mainnet,Deployed,K8S,192.168.34.162,idc-chain-host-07,61.111.3.57,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,13
idc-svc-avax-mainnet-avax-arch-02,avax-mainnet,Deployed,K8S,192.168.34.163,idc-chain-host-19,61.111.3.69,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,13
idc-svc-avax-mainnet-avax-full-01,avax-mainnet,Deployed,K8S,192.168.34.148,idc-chain-host-05,61.111.3.55,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,1.3
idc-svc-avax-mainnet-avax-full-02,avax-mainnet,Deployed,K8S,192.168.34.149,idc-chain-host-04,61.111.3.54,8,16,8,16.1,8,8,16,16.1,,,,,,,,,,,,,,,,,,8,16,1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,96,42.9
*** Base Mainnet ***,,,,,,,,,,,Execution Layer,,,,Consensus Layer,,,,GethExporter,,,,,,,,,,,,,,,
idc-int-base-mainnet-geth-full-01,base-mainnet,Deployed,K8S,192.168.34.119,idc-chain-host-21,61.111.3.71,16.2,74.048,16.2,210.058,12,12,64,200,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,17,75,3.7
idc-int-base-mainnet-reth-full-02,base-mainnet,Deployed,K8S,192.168.34.120,idc-chain-host-29,61.111.3.79,16.2,74.048,16.2,210.058,12,12,64,200,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,17,75,3
idc-int-base-mainnet-reth-arch-01,base-mainnet,Deployed,K8S,192.168.34.160,idc-chain-host-06,61.111.3.56,12.2,42.048,12.2,260.058,8,8,32,250,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,43,8
idc-int-base-mainnet-geth-arch-02 (PBSS),base-mainnet,Deployed,K8S,192.168.34.22,idc-chain-host-22,61.111.3.72,12.2,42.048,12.2,260.058,8,8,32,250,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,43,2.3
idc-svc-base-mainnet-geth-full-01,base-mainnet,Deployed,K8S,192.168.34.124,idc-chain-host-10,61.111.3.60,16.2,74.048,16.2,210.058,12,12,64,200,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,17,75,3.7
